EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,WorkLifeBalance,Attrition
479,54,Female,IT,Manager,16549,14,1,2,4,Yes
480,60,Female,HR,Clerk,49452,10,5,2,3,No
481,32,Female,Finance,Analyst,69931,10,5,3,3,No
482,32,Male,Operations,Analyst,28090,8,7,3,2,No
483,30,Male,Finance,Manager,38148,12,3,4,4,Yes
484,40,Female,Operations,Clerk,21253,10,7,4,1,Yes
485,37,Female,Sales,Executive,112595,1,0,3,3,No
486,56,Female,IT,Manager,68970,11,8,1,3,Yes
487,43,Female,Operations,Executive,116547,5,2,4,1,No
488,30,Male,IT,Executive,97742,9,7,4,1,Yes
489,35,Female,IT,Developer,108117,5,2,3,4,No
490,44,Female,Finance,Analyst,39102,14,12,1,2,Yes
491,34,Male,Finance,Manager,27524,8,1,1,4,Yes
492,54,Male,Sales,Developer,96015,0,0,2,1,No
493,36,Female,Finance,Analyst,32206,9,3,2,1,Yes
494,51,Female,Operations,Developer,86898,11,5,4,2,Yes
495,57,Female,Operations,Clerk,55587,14,10,3,4,Yes
496,40,Female,Finance,Developer,35410,2,1,3,1,Yes
497,39,Female,Operations,Manager,105147,4,2,4,4,No
498,39,Male,Sales,Clerk,63974,0,0,2,4,No
499,31,Female,Finance,Analyst,49469,12,3,1,4,Yes
500,55,Female,Finance,Analyst,23973,8,4,2,2,No
501,60,Female,IT,Clerk,79486,3,3,2,3,Yes
502,55,Male,HR,Manager,51977,4,0,3,2,No
503,26,Male,Sales,Executive,43467,0,0,3,4,No
504,50,Male,IT,Manager,113378,15,11,2,1,No
505,55,Female,HR,Analyst,47778,12,1,4,1,Yes
506,49,Male,Sales,Analyst,75402,7,6,1,2,No
507,40,Female,HR,Manager,112612,12,10,1,3,No
508,44,Male,HR,Manager,45928,9,3,4,3,Yes
509,58,Male,Finance,Analyst,16170,5,2,1,4,Yes
510,36,Male,Finance,Manager,104908,11,1,3,1,Yes
511,30,Male,HR,Executive,45497,11,10,3,3,No
512,45,Female,HR,Developer,20175,6,0,4,4,No
513,57,Male,Operations,Developer,57425,15,6,4,3,Yes
514,30,Female,IT,Developer,85989,2,2,3,4,Yes
515,32,Male,Operations,Developer,116714,12,11,2,3,Yes
516,54,Female,Operations,Analyst,95352,12,3,3,3,No
517,27,Male,Sales,Analyst,38414,10,1,1,2,Yes
518,27,Male,Operations,Executive,101235,15,6,4,3,Yes
519,59,Male,Sales,Analyst,100950,11,3,4,1,No
520,56,Female,IT,Manager,95862,1,1,3,1,Yes
